Brand,seriesname,Background Template,colorcode,finish,colorname,Color Code + Color Name,,nominalsize_1,nominalsize_2,nominalsize_3,nominalsize_4,nominalsize_5,nominalsize_6,nominalsize_7,nominalsize_8,nominalsize_9,nominalsize_10
American Olean,Color Appeal,AO_Color Appeal.jpg,C137,Glass,Pebble Beach,Pebble Beach C137,,3 Random,5/8 Random,,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C138,Glass,Canyon Trail,Canyon Trail C138,,3 Random,5/8 Random,,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C139,Glass,Tortoise Shell,Tortoise Shell C139,,3 Random,5/8 Random,,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C140,Glass,Mountain Morning,Mountain Morning C140,,3 Random,5/8 Random,,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C141,Glass,Sea Cliff,Sea Cliff C141,,3 Random,5/8 Random,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU12,Matte,Matte Artichoke,Matte Artichoke CU12,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU13,Glossy,Valentine,Valentine CU13,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU16,Matte,Matte Mushroom,Matte Mushroom CU16,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU22,Matte,Matte Rain,Matte Rain CU22,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU30,Matte,Matte Kiwi,Matte Kiwi CU30,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU33,Matte,Matte Carrara,Matte Carrara CU33,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU34,Matte,Matte Ireland,Matte Ireland CU34,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU43,Matte,Matte Atlantis,Matte Atlantis CU43,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU44,Matte,Matte Azure,Matte Azure CU44,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU46,Matte,Matte Blueberry,Matte Blueberry CU46,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU47,Matte,Matte Burgundy,Matte Burgundy CU47,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU48,Glossy,Carnation,Carnation CU48,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU61,Matte,Matte Pacific,Matte Pacific CU61,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU63,Matte,Matte Pearl White,Matte Pearl White CU63,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU66,Matte,Matte Real Teal,Matte Real Teal CU66,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU68,Matte,Matte Starlight,Matte Starlight CU68,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU71,Matte,Matte Mango,Matte Mango CU71,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU74,Matte,Matte Tuscany,Matte Tuscany CU74,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU80,Matte,Matte Fern,Matte Fern CU80,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU82,Matte,Matte Iceberg,Matte Iceberg CU82,,3X6 ,,,,,,,,,
American Olean,Color Complements,AO_Color Complements.jpg,CU97,Matte,Matte Daisy,Matte Daisy CU97,,3X6 ,,,,,,,,,
American Olean,Color Story Floor,AO_Color Story Floor.jpg,0016,Matte,Matte Shadow,Matte Shadow 0016,,12X12 Square,12X24 Rectangle,,,,,,,,
American Olean,Color Story Floor,AO_Color Story Floor.jpg,0017,Matte,Matte Storm Gray,Matte Storm Gray 0017,,12X12 Square,12X24 Rectangle,,,,,,,,
American Olean,Color Story Floor,AO_Color Story Floor.jpg,0021,Matte,Matte Passion,Matte Passion 0021,,12X12 Square,12X24 Rectangle,,,,,,,,
American Olean,Color Story Floor,AO_Color Story Floor.jpg,0034,Matte,Matte Balance,Matte Balance 0034,,12X12 Square,12X24 Rectangle,,,,,,,,
American Olean,Color Story Floor,AO_Color Story Floor.jpg,0052,Matte,Matte Stable,Matte Stable 0052,,12X12 Square,12X24 Rectangle,,,,,,,,
